"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8466","CT002 - Login User with correct email and password","chromium","2025-12-17","passed","2025-12-17","","e2e\test_login.spec.ts","",""
"","2756","has title","firefox","2025-12-17","passed","2025-12-17","","tests\example.spec.ts","",""
"","9080","CT002 - Login User with correct email and password","webkit","2025-12-17","passed","2025-12-17","","e2e\test_login.spec.ts","",""
"","14044","CT002 - Login User with correct email and password","firefox","2025-12-17","passed","2025-12-17","","e2e\test_login.spec.ts","",""
"","3730","get started link","webkit","2025-12-17","passed","2025-12-17","","tests\example.spec.ts","",""
"","22434","CT001 - Register User","firefox","2025-12-17","passed","2025-12-17","","e2e\test_register.spec.ts","",""
"","3907","get started link","firefox","2025-12-17","passed","2025-12-17","","tests\example.spec.ts","",""
"","3403","has title","chromium","2025-12-17","passed","2025-12-17","","tests\example.spec.ts","",""
"","3903","get started link","chromium","2025-12-17","passed","2025-12-17","","tests\example.spec.ts","",""
"","2050","has title","webkit","2025-12-17","passed","2025-12-17","","tests\example.spec.ts","",""
"","10314","CT001 - Register User","chromium","2025-12-17","passed","2025-12-17","","e2e\test_register.spec.ts","",""
"","19492","CT001 - Register User","webkit","2025-12-17","passed","2025-12-17","","e2e\test_register.spec.ts","",""
